"","name","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","decimalLongitude","decimalLatitude","year","month","day","eventDate","issues","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","gbifID","verbatimEventDate","institutionCode","datasetName","verbatimLocality","catalogNumber","recordedBy","rights","rightsHolder","identifier","taxonID","collectionCode","identificationID","occurrenceRemarks","eventTime","informationWithheld","infraspecificEpithet","locality","prov"
"244","Aphelocoma californica",891041351,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:01.103+0000","2014-05-29T20:15:36.487+0000","none","HUMAN_OBSERVATION",2482414,1,44,212,729,5235,2482394,2482414,"Aphelocoma californica (Vigors, 1839)","Animalia","Chordata","Passeriformes","Corvidae","Aphelocoma","Aphelocoma californica","Aphelocoma","californica","SPECIES","2014-02-03T19:21:29.000+0000",-122.65024,38.45114,2014,2,3,"2014-02-02T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:50:10.000+0000","2014-06-05T19:25:16.499+0000","http://www.inaturalist.org/observations/519443","none","none","none","WGS84","Aves","US","United States","891041351","2014-02-03","iNaturalist","iNaturalist research-grade observations","Spring Lake, California","519443","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","519443","7844","Observations","905631","Seen perching high in an alder tree.",NA,NA,NA,NA,"gbif"
"245","Arbutus menziesii",891045740,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.693+0000","2014-05-29T20:16:06.598+0000","none","HUMAN_OBSERVATION",2882802,6,49,220,1353,2505,2882796,2882802,"Arbutus menziesii Pursh","Plantae","Magnoliophyta","Ericales","Ericaceae","Arbutus","Arbutus menziesii","Arbutus","menziesii","SPECIES","2014-02-14T00:52:34.000+0000",-122.5865,38.39827,2014,2,13,"2014-02-12T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-01T06:59:53.000+0000","2014-06-05T19:25:33.700+0000","http://www.inaturalist.org/observations/530009","none","none","none","WGS84","Magnoliopsida","US","United States","891045740","2014-02-13","iNaturalist","iNaturalist research-grade observations","Annadel State Park","530009","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","530009","51046","Observations","927813","This Madrone sapling was seen in the understory of a mixed oak woodland. The height of this specimen is around two meters. ",NA,NA,NA,NA,"gbif"
"246","Uroctonus mordax",891045971,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.769+0000","2014-05-29T20:16:08.023+0000","none","HUMAN_OBSERVATION",6893008,1,54,367,872,3253214,4656418,6893008,"Uroctonus mordax Thorell, 1876","Animalia","Arthropoda","Scorpiones","Vaejovidae","Uroctonus","Uroctonus mordax","Uroctonus","mordax","SPECIES","2014-02-14T12:38:01.000+0000",-122.58361,38.39903,2014,2,13,"2014-02-12T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-16T00:02:47.000+0000","2014-06-05T19:25:34.669+0000","http://www.inaturalist.org/observations/530319","none","none","none","WGS84","Arachnida","US","United States","891045971","2014-02-13","iNaturalist","iNaturalist research-grade observations","Annadel State Park","530319","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","530319","52576","Observations","928400","A mixed oak woodland is the habitat in which this specimen was found.",NA,NA,NA,NA,"gbif"
"247","Niebla",891049535,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:05.674+0000","2014-05-29T20:16:31.928+0000","none","HUMAN_OBSERVATION",2608076,5,95,180,1048,4812,2608076,NA,"Niebla","Fungi","Ascomycota","Lecanorales","Ramalinaceae","Niebla",NA,"Niebla",NA,"GENUS","2014-02-22T15:22:35.000+0000",-122.66657,38.45126,2014,2,21,"2014-02-20T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-22T15:30:29.000+0000","2014-06-05T19:25:49.572+0000","http://www.inaturalist.org/observations/539192","none","none","none","WGS84","Lecanoromycetes","US","United States","891049535","2014-02-21","iNaturalist","iNaturalist research-grade observations","Howarth Park, Santa Rosa","539192","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","539192","147234","Observations","945046","This lichen was seen growing on a limb of a living scrub oak within a mixed oak woodland. The host tree was leafless in this season. Approximate height of this specimen was about three cm.",NA,NA,NA,NA,"gbif"
"248","Erodium",891051086,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:06.298+0000","2014-05-29T20:16:42.710+0000","none","HUMAN_OBSERVATION",2891616,6,49,220,624,4676,2891616,NA,"Erodium LHér. ex Aiton","Plantae","Magnoliophyta","Geraniales","Geraniaceae","Erodium",NA,"Erodium",NA,"GENUS","2014-02-27T15:49:41.000+0000",-122.62356,38.41611,2014,2,23,"2014-02-23T00:36:12.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-04-28T13:17:16.000+0000","2014-06-05T19:25:55.508+0000","http://www.inaturalist.org/observations/542556","none","none","none","WGS84","Magnoliopsida","US","United States","891051086","2014-02-23 16:36:12","iNaturalist","iNaturalist research-grade observations","annadele state park","542556","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","542556","47688","Observations","958467",NA,"00:36:12Z",NA,NA,NA,"gbif"
"249","Lonicera hispidula",891046081,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.870+0000","2014-05-29T20:16:09.222+0000","none","HUMAN_OBSERVATION",5334232,6,49,220,946,6710,2888645,5334232,"Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Lonicera","Lonicera hispidula","Lonicera","hispidula","SPECIES","2014-02-14T21:59:59.000+0000",-122.66415,38.45314,2014,2,14,"2014-02-13T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-15T22:22:42.000+0000","2014-06-05T19:25:35.544+0000","http://www.inaturalist.org/observations/530693","none","none","none","WGS84","Magnoliopsida","US","United States","891046081","2014-02-14","iNaturalist","iNaturalist research-grade observations","Howarth Park, Santa Rosa","530693","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","530693","53416","Observations","929199","Seen growing in the understory of a mixed oak woodland. Height of this specimen is 2.2 meters. Leaf length is around 5.0 cm.",NA,NA,NA,NA,"gbif"
"250","Opuntia",891051157,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:06.429+0000","2014-05-29T20:16:42.804+0000","none","HUMAN_OBSERVATION",3084187,6,49,220,422,2519,3084187,NA,"Opuntia (Linnaeus) P. Miller, 1754","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia",NA,"Opuntia",NA,"GENUS","2014-02-24T23:28:30.000+0000",-122.56035,38.42151,2014,2,24,"2014-02-23T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-06T15:08:41.000+0000","2014-06-05T19:25:55.669+0000","http://www.inaturalist.org/observations/542795","none","none","none","WGS84","Magnoliopsida","US","United States","891051157","2014-02-24","iNaturalist","iNaturalist research-grade observations","Lawndale Road, Kenwood","542795","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","542795","47902","Observations","951358","This sad specimen is most likely planted and non-native, but it is in a very sad shape, occurring near a drainage ditch with soils much to mesic for its liking. Hood Mountain is in the background.",NA,NA,NA,NA,"gbif"
"251","Setophaga coronata",891053005,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:07.423+0000","2014-05-29T20:16:53.698+0000","none","HUMAN_OBSERVATION",7341805,1,44,212,729,5263,2489984,7341805,"Setophaga coronata","Animalia","Chordata","Passeriformes","Parulidae","Setophaga","Setophaga coronata","Setophaga","coronata","SPECIES","2014-02-28T22:24:32.000+0000",-122.5655,38.42023,2014,2,28,"2014-02-27T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T02:35:34.000+0000","2014-06-05T19:26:02.530+0000","http://www.inaturalist.org/observations/546883","none","none","none","WGS84","Aves","US","United States","891053005","2014-02-28","iNaturalist","iNaturalist research-grade observations","Lawndale Road, Kenwood","546883","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","546883","145245","Observations","961121","Seen perching in an oak tree and also seen in flight between rain downpours today.",NA,NA,NA,NA,"gbif"
"252","Pellaea andromedifolia",891046998,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.629+0000","2014-05-29T20:16:13.707+0000","none","HUMAN_OBSERVATION",5275426,6,59,7228684,392,2367,2651710,5275426,"Pellaea andromedifolia (Kaulf.) Fée","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","Pellaea andromedifolia","Pellaea","andromedifolia","SPECIES","2014-02-17T01:23:21.000+0000",-122.58573,38.39843,2014,2,16,"2014-02-15T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-17T02:48:24.000+0000","2014-06-05T19:25:41.915+0000","http://www.inaturalist.org/observations/533493","none","none","none","WGS84","Polypodiopsida","US","United States","891046998","2014-02-16","iNaturalist","iNaturalist research-grade observations","Annadel State Park","533493","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","533493","57231","Observations","933700","This diminutive fern was observed on the rocky forest floor of the mixed oak woodland. The pinnae exhibit the characteristic notched or rounded tips characteristic of the specie. The entire plant height measures only about fifteen cm.",NA,NA,NA,NA,"gbif"
"253","Teloschistes exilis",899944863,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:06.426+0000","2014-05-29T21:32:14.829+0000","none","HUMAN_OBSERVATION",7087600,5,95,180,1050,8368,2609979,7087600,"Teloschistes exilis (Michx.) Vain.","Fungi","Ascomycota","Teloschistales","Teloschistaceae","Teloschistes","Teloschistes exilis","Teloschistes","exilis","SPECIES","2014-04-30T00:21:35.000+0000",-122.62939,38.43256,2014,2,23,"2014-02-23T00:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-04-30T03:31:25.000+0000","2014-06-05T20:09:55.684+0000","http://www.inaturalist.org/observations/542551","none","none","none","WGS84","Lecanoromycetes","US","United States","899944863","2014-02-23 4pm","iNaturalist","iNaturalist research-grade observations","annadele state park","542551","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","542551","232361","Observations","1145169","Growing on a fallen live oak limb","00:00:00Z",NA,NA,NA,"gbif"
"254","Setophaga coronata",891043003,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:02.293+0000","2014-05-29T20:15:46.956+0000","none","HUMAN_OBSERVATION",6542061,1,44,212,729,5263,2489984,7341805,"Setophaga coronata subsp. auduboni","Animalia","Chordata","Passeriformes","Parulidae","Setophaga","Setophaga coronata","Setophaga","coronata","SUBSPECIES","2014-02-07T02:00:10.000+0000",-122.5835,38.3987,2014,2,6,"2014-02-05T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T23:27:12.000+0000","2014-06-05T19:25:23.424+0000","http://www.inaturalist.org/observations/523241","none","none","none","WGS84","Aves","US","United States","891043003","2014-02-06","iNaturalist","iNaturalist research-grade observations","Annadel State Park, California","523241","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","523241","126562","Observations","913264","Seen its winter range perching on the mossy trunk of a Quercus garryana tree. While this bird is chiefly a herbivorous ground forager, it will occasionally prey upon insects.",NA,NA,"auduboni",NA,"gbif"
"255","Polystichum californicum",891044059,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:02.878+0000","2014-06-16T13:16:47.601+0000","none","HUMAN_OBSERVATION",2651114,6,59,7228684,392,2373,2651085,2651114,"Polystichum californicum (D.C. Eaton) Diels","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","Polystichum californicum","Polystichum","californicum","SPECIES","2014-02-09T13:05:27.000+0000",-122.57021,38.48027,2014,2,3,"2014-02-03T18:57:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-05-25T13:15:24.000+0000","2014-06-16T13:16:47.755+0000","http://www.inaturalist.org/observations/525573","none","none","none","WGS84","Polypodiopsida","US","United States","891044059","2014-02-03  1057","iNaturalist","iNaturalist research-grade observations","Hood Mountain Regional Park","525573","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","525573","63867","Observations","918301",NA,"18:57:00Z",NA,NA,NA,"gbif"
"256","Sayornis nigricans",891045016,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.294+0000","2014-05-29T20:16:00.936+0000","none","HUMAN_OBSERVATION",2483612,1,44,212,729,5291,2483605,2483612,"Sayornis nigricans (Swainson, 1827)","Animalia","Chordata","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans","Sayornis","nigricans","SPECIES","2014-02-11T19:09:51.000+0000",-122.654,38.45939,2014,2,10,"2014-02-09T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T00:04:57.000+0000","2014-06-05T19:25:30.796+0000","http://www.inaturalist.org/observations/528137","none","none","none","WGS84","Aves","US","United States","891045016","2014-02-10","iNaturalist","iNaturalist research-grade observations","Spring Lake, Sonoma County","528137","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","528137","17013","Observations","923390","Seen perching on branches quite close to the slackwater surface of an arm of Spring Lake.",NA,NA,NA,NA,"gbif"
"257","Platanus racemosa",891045544,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.607+0000","2014-05-29T20:16:06.501+0000","none","HUMAN_OBSERVATION",3152812,6,49,220,400,6693,3152811,3152812,"Platanus racemosa Nutt.","Plantae","Magnoliophyta","Proteales","Platanaceae","Platanus","Platanus racemosa","Platanus","racemosa","SPECIES","2014-02-13T05:24:22.000+0000",-122.70388,38.46993,2014,2,12,"2014-02-11T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-13T15:14:48.000+0000","2014-06-05T19:25:33.661+0000","http://www.inaturalist.org/observations/529351","none","none","none","WGS84","Magnoliopsida","US","United States","891045544","2014-02-12","iNaturalist","iNaturalist research-grade observations","Chanate Road, Santa Rosa","529351","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","529351","58231","Observations","926317","This P. racemosa measures about twenty meters in height. While entirely leafless, i found some scattered dry leaves on the ground. Some fruit still hung from the tree.",NA,NA,NA,NA,"gbif"
"258","Arctostaphylos",891047623,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.670+0000","2014-05-29T20:16:18.581+0000","none","HUMAN_OBSERVATION",2882486,6,49,220,1353,2505,2882486,NA,"Arctostaphylos Adans.","Plantae","Magnoliophyta","Ericales","Ericaceae","Arctostaphylos",NA,"Arctostaphylos",NA,"GENUS","2014-02-18T03:42:44.000+0000",-122.58702,38.40018,2014,2,17,"2014-02-16T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-01T07:00:19.000+0000","2014-06-05T19:25:41.592+0000","http://www.inaturalist.org/observations/534919","none","none","none","WGS84","Magnoliopsida","US","United States","891047623","2014-02-17","iNaturalist","iNaturalist research-grade observations","Annadel State Park","534919","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","534919","47179","Observations","936246","This was a very low growing manzanita, with a height of no more than 40 cm.",NA,NA,NA,NA,"gbif"
"259","Dichelostemma capitatum",891047547,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.548+0000","2014-05-29T20:16:18.542+0000","none","HUMAN_OBSERVATION",2772253,6,49,196,1169,7683,2772243,2772253,"Dichelostemma capitatum (Benth.) Alph.Wood","Plantae","Magnoliophyta","Asparagales","Asparagaceae","Dichelostemma","Dichelostemma capitatum","Dichelostemma","capitatum","SPECIES","2014-02-18T01:29:13.000+0000",-122.69933,38.5843,2014,2,16,"2014-02-15T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-27T16:07:21.000+0000","2014-06-05T19:25:41.452+0000","http://www.inaturalist.org/observations/534761","none","none","none","WGS84","Liliopsida","US","United States","891047547","2014-02-16","iNaturalist","iNaturalist research-grade observations","pepperwood preserve, double pond","534761","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","534761","50654","Observations","935985",NA,NA,NA,NA,NA,"gbif"
"260","Fulica americana",891041485,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:01.206+0000","2014-05-29T20:15:36.546+0000","none","HUMAN_OBSERVATION",2474393,1,44,212,1493,9342,2474376,2474393,"Fulica americana Gmelin, 1789","Animalia","Chordata","Gruiformes","Rallidae","Fulica","Fulica americana","Fulica","americana","SPECIES","2014-02-03T23:02:59.000+0000",-122.65221,38.45028,2014,2,3,"2014-02-02T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:53:32.000+0000","2014-06-05T19:25:16.765+0000","http://www.inaturalist.org/observations/519754","none","none","none","WGS84","Aves","US","United States","891041485","2014-02-03","iNaturalist","iNaturalist research-grade observations","Spring Lake, California","519754","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","519754","473","Observations","906162","This juvenile was seen repeatedly diving in shallow water. While ominvorous, this species has a diet chiefly of plant material plucked from the benthic environment in dives. Note the white underparts and the bill that is less developed than an adult, both diagnostics of a juvenile.",NA,NA,NA,NA,"gbif"
"261","Setophaga coronata",891046765,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.190+0000","2014-05-29T20:16:12.327+0000","none","HUMAN_OBSERVATION",7341805,1,44,212,729,5263,2489984,7341805,"Setophaga coronata","Animalia","Chordata","Passeriformes","Parulidae","Setophaga","Setophaga coronata","Setophaga","coronata","SPECIES","2014-02-16T14:01:35.000+0000",-122.58324,38.39911,2014,2,15,"2014-02-14T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T00:37:32.000+0000","2014-06-05T19:25:37.873+0000","http://www.inaturalist.org/observations/532733","none","none","none","WGS84","Aves","US","United States","891046765","2014-02-15","iNaturalist","iNaturalist research-grade observations","Annadel State Park","532733","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","532733","145245","Observations","932665","Perched high in a leafless Quercus garryana tree.",NA,NA,NA,NA,"gbif"
"262","Sciurus griseus",891047128,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.366+0000","2014-07-08T12:28:04.503+0000","none","HUMAN_OBSERVATION",5219672,1,44,359,1459,9456,2437489,5219672,"Sciurus griseus Ord, 1818","Animalia","Chordata","Rodentia","Sciuridae","Sciurus","Sciurus griseus","Sciurus","griseus","SPECIES","2014-02-17T16:06:12.000+0000",-122.79741,38.43058,2014,2,16,"2014-02-16T01:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES,MODIFIED_DATE_UNLIKELY","2014-07-01T12:51:32.000+0000","2014-07-08T12:31:10.829+0000","http://www.inaturalist.org/observations/533563","none","none","none","WGS84","Mammalia","US","United States","891047128","2014-02-16 5pm","iNaturalist","iNaturalist research-grade observations","piezzi road","533563","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","533563","46023","Observations","934965","Evidence of the barking squirrels in my back yard","01:00:00Z",NA,NA,NA,"gbif"
"263","Taricha rivularis",891052771,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:07.352+0000","2014-07-08T12:28:07.420+0000","none","HUMAN_OBSERVATION",2431916,1,44,131,953,6750,2431912,2431916,"Taricha rivularis (Twitty, 1935)","Animalia","Chordata","Caudata","Salamandridae","Taricha","Taricha rivularis","Taricha","rivularis","SPECIES","2014-02-28T04:10:11.000+0000",-122.68787,38.57257,2014,2,12,"2014-02-11T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-30T08:27:27.000+0000","2014-07-08T12:31:16.162+0000","http://www.inaturalist.org/observations/546416","none","none","none","WGS84","Amphibia","US","United States","891052771","2014-02-12","iNaturalist","iNaturalist research-grade observations","pepperwood preserve","546416","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","546416","27824","Observations","959803",NA,NA,NA,NA,NA,"gbif"
"264","Fungi",899944710,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:05.234+0000","2014-05-29T21:32:13.746+0000","none","HUMAN_OBSERVATION",5,5,NA,NA,NA,NA,NA,NA,"Fungi","Fungi",NA,NA,NA,NA,NA,"Fungi",NA,"KINGDOM","2014-02-19T20:22:12.000+0000",-122.66288,38.45489,2014,2,19,"2014-02-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-04-29T19:08:40.000+0000","2014-06-05T20:09:55.312+0000","http://www.inaturalist.org/observations/536742","none","none","none","WGS84",NA,"US","United States","899944710","2014-02-19","iNaturalist","iNaturalist research-grade observations","Howarth Park, Santa Rosa","536742","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","536742","47170","Observations","940072","Growing quite close to the ground within a mixed oak woodland.",NA,NA,NA,NA,"gbif"
